captured_at_utc,repo,type,timestamp_utc,count,uniques
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-03T00:00:00Z,21,12
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-04T00:00:00Z,8,7
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-05T00:00:00Z,10,7
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-06T00:00:00Z,17,11
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-07T00:00:00Z,14,10
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-08T00:00:00Z,14,11
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-09T00:00:00Z,16,10
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-10T00:00:00Z,19,11
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-11T00:00:00Z,5,5
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-12T00:00:00Z,17,10
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-13T00:00:00Z,18,10
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-14T00:00:00Z,16,8
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-15T00:00:00Z,13,8
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,clone,2026-05-16T00:00:00Z,19,12
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-03T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-04T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-05T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-06T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-07T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-08T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-09T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-10T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-11T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-12T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-13T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-14T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-15T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/daily-commit-workflow,view,2026-05-16T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-03T00:00:00Z,12,5
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-04T00:00:00Z,15,9
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-05T00:00:00Z,19,9
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-06T00:00:00Z,7,4
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-07T00:00:00Z,10,6
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-08T00:00:00Z,3,3
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-09T00:00:00Z,12,7
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-10T00:00:00Z,15,9
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-11T00:00:00Z,5,4
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-12T00:00:00Z,10,6
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-13T00:00:00Z,17,8
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-14T00:00:00Z,14,6
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-15T00:00:00Z,6,3
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,clone,2026-05-16T00:00:00Z,10,6
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-03T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-04T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-05T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-06T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-07T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-08T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-09T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-10T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-11T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-12T00:00:00Z,5,2
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-13T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-14T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-15T00:00:00Z,0,0
2026-05-18T04:39:34.290478+00:00,Kr-Adarsh/git-traffic-log,view,2026-05-16T00:00:00Z,8,1
